GR,log10(LLD),log10(MSFL),DT,RHOB,NPHI,PEF
25.72,2.4914,2.1764,49.38,2.67,0.01,5.56
30.19,2.3413,2.5358,49.81,2.67,0.01,5.02
29.55,2.4081,2.503,49.06,2.68,0.01,5
33.44,1.9104,2.3384,54.19,2.6,0.08,4.55
26.56,2.0709,2.0434,52.56,2.61,0.03,4.93
28.8,1.8932,2.0856,53.81,2.61,0.05,5.05
33.38,1.8889,2.0728,53.38,2.57,0.04,4.87
30.42,1.9523,2.0641,52.13,2.62,0.02,5.29
27.03,2.0621,2.3931,50.88,2.64,0.01,5.31
21.97,1.6239,1.7816,59.56,2.55,0.08,4.97
22.56,1.573,1.746,59.44,2.52,0.07,4.8
28.63,1.5876,1.7918,56.5,2.56,0.04,4.87
38.31,1.6922,1.8835,54.38,2.59,0.02,5.18
40.66,1.767,1.96,54,2.6,0.02,5.06
32.41,1.798,2.1641,52.38,2.61,0.03,4.96
26.16,1.811,1.97,54.13,2.59,0.04,5.29
25.81,1.775,2.0727,55.19,2.63,0.06,5.29
24.33,1.7602,2.0071,56.69,2.58,0.07,5.32
29.09,1.6195,1.6936,63.25,2.5,0.1,4.71
25.19,1.5322,1.5571,62.19,2.47,0.07,5.02
28.63,1.8366,2.4175,54.38,2.64,0.04,5
26.94,1.9516,2.3233,54.63,2.62,0.04,4.9
22.81,1.979,2.35,52.94,2.62,0.03,5.07
23.06,2.0202,2.4801,53.38,2.63,0.04,5.04
17.97,1.9469,2.2514,54.19,2.62,0.05,4.83
18.45,1.8871,2.2267,53.75,2.61,0.05,4.71
16.78,2.0129,2.4952,52.13,2.64,0.03,5.15
18.45,2.1664,2.5817,51.5,2.66,0.02,5.25
17.89,2.1868,2.5525,51.44,2.66,0.02,5.35
14.93,2.2012,2.4721,50.81,2.65,0.02,5.25
18.39,2.2813,2.6342,50.88,2.64,0.02,5.09
18.67,2.2643,2.2556,52.31,2.64,0.02,4.97
20.09,2.1293,2.128,53,2.59,0.02,4.96
28.03,2.0858,2.0849,53.38,2.64,0.02,5.02
26.94,2.0958,2.0413,55.13,2.68,0.02,5.06
17.64,2.1274,2.1074,53.69,2.64,0.02,5.08
11.2,2.4186,2.574,50.13,2.66,0.01,4.73
14.23,2.3177,2.6332,49.56,2.7,0,5.35
14.69,2.0602,2.5841,51.44,2.7,0.01,4.87
18.39,1.9566,1.8973,51,2.7,0.01,4.82
19.84,1.9336,2.031,50.94,2.67,0.01,5.07
24.95,2.0268,2.4506,53.19,2.65,0.02,5.05
43.53,1.6761,2.3056,53.88,2.67,0.02,5.08
36.72,1.6379,2.3812,55.63,2.68,0.04,4.44
29.84,1.344,1.2317,55.31,2.66,0.05,4.12
34.19,1.3107,1.3555,54.94,2.66,0.06,4.52
48.34,1.5329,1.6464,54.31,2.66,0.04,4.48
26.91,1.6013,1.7998,55.56,2.63,0.04,4.55
25.33,1.8035,1.9856,51.38,2.61,0.02,4.96
45.88,2.2675,2.3511,50.94,2.68,0.01,5.11
47.09,2.1472,2.6547,52.81,2.66,0.01,5.22
34.31,1.7083,1.927,54.5,2.58,0.05,4.59
35.25,1.5985,1.6024,54.06,2.57,0.05,4.9
29.63,1.653,2.0896,53,2.55,0.03,4.89
26.14,1.5426,1.9168,58.44,2.62,0.07,4.9
26.5,1.3292,1.4898,61.44,2.55,0.12,4.72
27.84,1.2878,1.9431,61.38,2.45,0.13,4.71
27.59,1.3075,1.3454,61.31,2.55,0.11,4.86
28.3,1.351,1.6799,59.63,2.51,0.11,4.66
33.63,1.4789,1.7248,58.88,2.5,0.1,4.65
32.5,1.6027,1.9879,55.81,2.56,0.06,5.46
29.48,1.7014,1.7013,55.81,2.55,0.07,4.9
37.22,1.131,1.012,59.19,2.57,0.08,4
36.91,1.2167,1.1824,62,2.54,0.11,4.56
47.47,1.3151,1.4476,59.81,2.49,0.12,4.69
51.28,1.594,1.5096,54.5,2.51,0.09,4.74
38.06,1.7482,1.9429,54,2.64,0.04,5.24
35.66,1.6291,2.1536,53.81,2.62,0.03,5.18
31.17,1.6713,1.8816,53.31,2.64,0.03,5.09
31.78,1.8696,1.9627,51.88,2.62,0.02,4.97
33.72,2.0164,1.9393,50.13,2.64,0.01,4.93
38.78,2.1364,2.2282,51.5,2.68,0.01,5.11
43.16,1.9274,1.9522,53.06,2.67,0.01,5.22
42.34,1.6528,2.2527,54.31,2.6,0.03,4.99
42.47,1.6132,1.3971,53.44,2.59,0.04,4.12
46.75,1.6936,1.5008,54.19,2.59,0.06,4.8
45.81,1.5436,1.7688,56.69,2.61,0.05,4.7
45.84,1.3899,1.4893,55.94,2.54,0.05,4.08
44.88,1.426,1.8948,55.63,2.6,0.06,5.02
47.78,1.3974,1.3109,55.56,2.61,0.05,4.65
51.41,1.4378,1.5425,55.88,2.59,0.05,4.89
19.08,2.1847,1.5437,56,2.6,0.07,4.99
17.61,2.2404,1.7209,55.5,2.6,0.07,5
19.3,2.3768,1.574,54.25,2.63,0.06,5.33
17.45,2.2991,2.1123,56.5,2.6,0.08,5.05
17.95,2.1254,1.439,58.38,2.59,0.1,4.63
16.14,2.1801,1.3952,57.5,2.59,0.09,5.02
19.39,2.1603,1.5993,58.5,2.6,0.09,4.98
25.92,2.3106,1.9632,53.63,2.63,0.06,4.97
26.08,2.4384,2.158,51.38,2.65,0.04,5.54
24.97,2.5416,2.1438,51.75,2.67,0.03,5.55
25.44,2.4854,1.5347,54.38,2.64,0.06,5.22
22.77,2.2775,1.3558,54.38,2.61,0.07,5.21
26.22,2.4419,1.8956,53.5,2.67,0.04,5.05
26.23,2.3879,1.5367,53.38,2.67,0.06,5.34
38.44,2.5016,1.7297,50.25,2.65,0.03,5.52
54.81,2.9467,2.0574,49.25,2.7,0.01,6.03
39.19,3.0605,1.6965,50.38,2.71,0.02,5.7
32.06,2.8743,1.7833,49.5,2.69,0.02,5.83
28.48,2.7662,1.7134,49.88,2.7,0.02,5.19
36.09,2.4203,2.2628,52.38,2.7,0.04,5.3
30.5,2.3315,1.4103,52.88,2.68,0.05,5.57
24.52,2.3123,1.7829,54.13,2.63,0.06,4.86
22.89,2.1929,1.7511,54.88,2.6,0.09,5.1
23.39,2.259,2.2099,53,2.64,0.05,5.06
24.83,2.3484,1.6462,51.75,2.62,0.06,5
36.72,2.465,2.0178,52.13,2.65,0.04,4.8
36.38,2.4028,1.6556,53,2.65,0.06,4.99
32.03,2.4102,2.0555,51.88,2.64,0.07,5.31
32.91,2.3701,1.8779,52,2.66,0.05,5.19
39.38,2.3127,1.7511,53.13,2.6,0.06,5.28
43.66,2.5352,2.0886,50.38,2.63,0.04,5.14
49.34,2.7655,2.6175,49,2.69,0.02,5.16
72.06,2.6459,2.3782,51.25,2.69,0.03,5.47
53.34,2.4532,1.8751,53.13,2.64,0.05,5.12
84.88,3.1341,1.976,51,2.72,0.02,5.7
30.11,2.5592,1.8277,52.25,2.69,0.04,4.99
24.23,2.1766,1.5437,58,2.61,0.09,4.94
21.14,1.941,1.2973,63.13,2.52,0.15,5
21.83,1.8419,0.6042,65.5,2.49,0.18,4.86
